City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Namatanai,PG,-3.6667,152.4333,77.4,82,79,6.06,moderate rain
1,Norman Wells,CA,65.282,-126.8329,48.24,71,90,9.22,overcast clouds
2,Rockland,US,41.1668,-74.0496,88.86,55,100,1.01,overcast clouds
3,Montauban,FR,44.0833,1.5,69.12,71,33,7.0,scattered clouds
4,Svirstroy,RU,60.7999,33.7248,61.25,98,100,9.28,overcast clouds
5,Mataura,NZ,-46.1927,168.8643,34.48,99,100,0.94,overcast clouds
6,Bethel,US,41.3712,-73.414,86.88,65,1,9.22,clear sky
7,Avarua,CK,-21.2078,-159.775,77.05,73,5,2.3,clear sky
8,Bratslav,UA,48.8226,28.9407,60.01,66,0,5.08,clear sky
9,Hobart,AU,-42.8794,147.3294,35.26,88,98,3.0,overcast clouds
10,Rikitea,PF,-23.1203,-134.9692,74.01,80,11,12.33,few clouds
11,Deputatskiy,RU,69.3,139.9,49.08,76,74,3.15,broken clouds
12,Marawi,PH,7.9986,124.2928,68.65,90,100,3.09,overcast clouds
13,Vaini,TO,-21.2,-175.2,64.56,88,75,4.61,broken clouds
14,Kibakwe,TZ,-6.7167,36.3667,61.52,72,55,4.23,broken clouds
15,Albany,US,42.6001,-73.9662,87.85,64,99,4.03,overcast clouds
16,Banda Aceh,ID,5.5577,95.3222,79.63,83,88,7.29,overcast clouds
17,Fiumicino,IT,41.7675,12.2291,83.98,75,0,10.36,clear sky
18,Bluff,NZ,-46.6,168.3333,34.81,76,100,2.51,light rain
19,Rawson,AR,-43.3002,-65.1023,54.68,33,0,28.39,clear sky
20,Tessalit,ML,20.1986,1.0114,96.78,23,63,7.78,broken clouds
21,Okato,NZ,-39.2,173.8833,45.68,75,100,13.89,overcast clouds
22,Flin Flon,CA,54.7682,-101.865,78.64,61,90,11.5,smoke
23,Conceicao Da Barra,BR,-18.5933,-39.7322,70.03,71,90,9.73,overcast clouds
24,San Carlos De Bariloche,AR,-41.1456,-71.3082,42.55,45,20,20.71,few clouds
25,Gazanjyk,TM,39.2446,55.5154,94.8,14,0,10.49,clear sky
26,Barrow,US,71.2906,-156.7887,35.62,77,90,6.91,overcast clouds
27,Mwinilunga,ZM,-11.7358,24.4293,62.64,28,6,5.01,clear sky
28,Bredasdorp,ZA,-34.5322,20.0403,52.29,88,100,1.32,overcast clouds
29,Saint-Philippe,RE,-21.3585,55.7679,71.15,77,37,12.06,scattered clouds
30,Ushuaia,AR,-54.8,-68.3,29.86,100,90,18.41,heavy snow
31,Villarrica,PY,-25.75,-56.4333,86.45,26,0,7.72,clear sky
32,Cape Town,ZA,-33.9258,18.4232,52.21,100,90,5.75,fog
33,San Cristobal,VE,7.7669,-72.225,84.38,47,60,6.85,broken clouds
34,Castro,BR,-24.7911,-50.0119,63.61,69,71,5.03,broken clouds
35,Torbay,CA,47.6666,-52.7314,77.77,71,75,31.07,broken clouds
36,Iquique,CL,-20.2208,-70.1431,62.64,71,40,5.35,scattered clouds
37,Avera,US,33.194,-82.5271,89.91,56,93,1.3,overcast clouds
38,Nikolskoye,RU,59.7035,30.7861,64.29,99,100,5.82,light rain
39,Alice Town,BS,25.7167,-79.3,84.97,66,2,6.49,clear sky
40,Ahipara,NZ,-35.1667,173.1667,54.23,87,99,8.88,overcast clouds
41,Tasiilaq,GL,65.6145,-37.6368,44.76,95,100,7.02,light rain
42,Hamilton,US,39.1834,-84.5333,89.94,52,1,1.01,clear sky
43,Cabo San Lucas,MX,22.8909,-109.9124,94.51,66,40,3.44,scattered clouds
44,Atuona,PF,-9.8,-139.0333,76.87,83,88,16.15,light rain
45,Busselton,AU,-33.65,115.3333,57.09,93,98,6.53,moderate rain
46,Klaksvik,FO,62.2266,-6.589,61.72,91,91,16.8,overcast clouds
47,Dikson,RU,73.5069,80.5464,49.55,72,11,3.74,few clouds
48,Juneau,US,58.3019,-134.4197,60.85,94,90,5.75,overcast clouds
49,Khovu-Aksy,RU,51.1333,93.6,48.09,91,99,2.68,light rain
50,Pevek,RU,69.7008,170.3133,40.91,78,18,4.41,few clouds
51,Punta Arenas,CL,-53.15,-70.9167,37.51,70,0,26.46,clear sky
52,Anadyr,RU,64.75,177.4833,41.5,87,75,13.42,broken clouds
53,Kalakamati,BW,-20.5929,27.3121,62.24,28,0,12.3,clear sky
54,New Norfolk,AU,-42.7826,147.0587,34.92,85,99,2.68,overcast clouds
55,Lazaro Cardenas,MX,17.9583,-102.2,86.77,65,100,8.61,overcast clouds
56,Paita,PE,-5.0892,-81.1144,73.96,70,16,20.85,few clouds
57,Port Alfred,ZA,-33.5906,26.891,59.45,85,67,14.34,broken clouds
58,Masvingo,ZW,-20.0637,30.8277,59.0,47,0,5.37,clear sky
59,Itumba,TZ,-9.4,33.1833,56.75,66,11,5.66,few clouds
60,Lompoc,US,34.6391,-120.4579,83.21,66,1,12.66,clear sky
61,Ancud,CL,-41.8697,-73.8203,53.42,70,79,8.86,broken clouds
62,Hilo,US,19.7297,-155.09,80.33,77,90,8.05,overcast clouds
63,Georgetown,MY,5.4112,100.3354,82.89,86,20,1.14,few clouds
64,Fort Nelson,CA,58.8053,-122.7002,54.99,88,90,17.27,moderate rain
65,Kapaa,US,22.0752,-159.319,82.72,68,40,3.0,scattered clouds
66,Hermanus,ZA,-34.4187,19.2345,52.81,74,92,1.12,overcast clouds
67,Tuatapere,NZ,-46.1333,167.6833,34.83,96,100,2.95,overcast clouds
68,Tiksi,RU,71.6872,128.8694,45.86,83,48,4.16,scattered clouds
69,Biak,ID,-0.9131,122.8766,75.09,88,100,7.85,overcast clouds
70,Cherskiy,RU,68.75,161.3,54.91,50,81,4.61,broken clouds
71,Nosivka,UA,50.9315,31.5828,60.8,75,100,7.09,overcast clouds
72,Turukhansk,RU,65.8167,87.9833,59.95,70,47,3.13,scattered clouds
73,Balkanabat,TM,39.5108,54.3671,97.21,13,0,7.61,clear sky
74,Pisco,PE,-13.7,-76.2167,64.45,72,75,9.22,broken clouds
75,Chokurdakh,RU,70.6333,147.9167,52.63,59,45,5.53,scattered clouds
76,Miro Khan,PK,27.7599,68.0921,93.42,44,63,9.69,broken clouds
77,Sur,OM,22.5667,59.5289,90.48,54,90,11.32,overcast clouds
78,Severo-Kurilsk,RU,50.6789,156.125,53.76,78,96,7.72,overcast clouds
79,Belfast,GB,54.5833,-5.9333,61.39,89,40,2.3,scattered clouds
80,Mbandaka,CD,0.0487,18.2603,69.19,94,97,2.93,overcast clouds
81,Chuy,UY,-33.6971,-53.4616,70.57,68,13,6.06,few clouds
82,Zheleznodorozhnyy,RU,55.7503,38.0042,75.42,44,100,12.1,overcast clouds
83,Les Cayes,HT,18.2,-73.75,86.99,66,24,9.37,few clouds
84,Sitka,US,57.0531,-135.33,60.69,88,75,8.05,broken clouds
85,Union,US,40.6334,-74.2663,92.17,48,1,4.61,clear sky
86,Mar Del Plata,AR,-38.0023,-57.5575,62.62,67,75,11.5,broken clouds
87,Luba,GQ,3.4568,8.5547,78.69,82,100,2.86,light rain
88,Namibe,AO,-15.1961,12.1522,69.35,81,100,2.17,overcast clouds
89,Lubango,AO,-14.9172,13.4925,59.07,39,2,4.45,clear sky
90,Hasaki,JP,35.7333,140.8333,79.2,88,100,14.63,heavy intensity rain
91,Ranong,TH,9.9658,98.6348,79.16,88,76,7.99,broken clouds
92,Saskylakh,RU,71.9167,114.0833,49.14,77,100,7.72,overcast clouds
93,Moranbah,AU,-22.0016,148.0466,49.82,76,0,8.86,clear sky
94,De Aar,ZA,-30.6497,24.0123,52.11,19,32,4.16,scattered clouds
95,Bathsheba,BB,13.2167,-59.5167,86.61,66,20,12.66,few clouds
96,Harrisburg,US,40.2737,-76.8844,85.28,61,90,5.99,overcast clouds
97,Qaanaaq,GL,77.484,-69.3632,41.61,75,98,1.66,overcast clouds
98,Te Anau,NZ,-45.4167,167.7167,34.52,99,100,4.74,moderate rain
99,Butaritari,KI,3.0707,172.7902,82.22,69,15,14.38,few clouds
100,Djibo,BF,14.1022,-1.6306,91.56,43,38,10.45,scattered clouds
101,Moba,CN,33.2288,105.0179,62.01,94,100,2.68,overcast clouds
102,Bilibino,RU,68.0546,166.4372,50.13,60,12,8.43,few clouds
103,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,68,75,19.57,broken clouds
104,Pangnirtung,CA,66.1451,-65.7125,46.4,76,75,13.8,light intensity shower rain
105,Mehamn,NO,71.0357,27.8492,62.44,63,60,6.98,broken clouds
106,Carnarvon,AU,-24.8667,113.6333,66.27,90,75,8.05,broken clouds
107,Khash,IR,28.2211,61.2158,81.54,13,0,4.43,clear sky
108,Amahai,ID,-3.3333,128.9167,76.33,90,100,3.31,light rain
109,Kieta,PG,-6.2167,155.6333,75.78,92,100,2.01,light rain
110,Dali,CN,25.7,100.1833,64.08,97,100,5.19,overcast clouds
111,Hohhot,CN,40.8106,111.6522,66.49,48,0,4.47,clear sky
112,Hithadhoo,MV,-0.6,73.0833,82.38,73,100,10.38,overcast clouds
113,Ilulissat,GL,69.2167,-51.1,51.82,43,75,8.05,broken clouds
114,Provideniya,RU,64.3833,-173.3,44.31,83,100,7.0,light rain
115,Port Elizabeth,ZA,-33.918,25.5701,61.09,88,40,9.22,scattered clouds
116,Wakkanai,JP,45.4094,141.6739,64.89,92,100,30.18,moderate rain
117,Luwuk,ID,-0.9516,122.7875,76.24,91,100,5.73,overcast clouds
118,Ostrovnoy,RU,68.0531,39.5131,55.63,83,15,9.48,few clouds
119,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,70,100,13.24,overcast clouds
120,Saldanha,ZA,-33.0117,17.9442,50.05,73,100,6.26,overcast clouds
121,Itoman,JP,26.1247,127.6694,79.18,96,75,27.63,heavy intensity shower rain
122,Saint-Pierre,RE,-21.3393,55.4781,71.24,74,90,4.61,overcast clouds
123,Uray,RU,60.1247,64.7758,60.28,97,100,7.38,light rain
124,Nokaneng,BW,-19.6667,22.2667,64.11,21,0,7.58,clear sky
125,Popondetta,PG,-8.7537,148.2534,71.67,89,79,2.82,broken clouds
126,Pinheiro,BR,-2.5214,-45.0825,87.01,53,44,2.15,scattered clouds
127,Faanui,PF,-16.4833,-151.75,78.06,71,25,8.01,scattered clouds
128,Boyolangu,ID,-8.1181,111.8935,73.85,96,63,1.66,broken clouds
129,East London,ZA,-33.0153,27.9116,59.99,82,29,11.88,scattered clouds
130,Karaton,ID,-6.3424,106.1045,78.96,93,14,0.94,few clouds
131,San Patricio,US,28.017,-97.5169,93.92,43,0,16.89,clear sky
132,Haifa,IL,32.8156,34.9892,83.21,81,22,9.08,few clouds
133,Lamar,US,33.6668,-95.5836,92.89,58,40,11.5,scattered clouds
134,Barranca,PE,-10.75,-77.7667,66.94,70,10,13.56,clear sky
135,Poum,NC,-20.2333,164.0167,69.51,71,99,9.13,overcast clouds
136,Hovd,MN,48.0056,91.6419,56.52,68,5,2.73,clear sky
137,Oussouye,SN,12.485,-16.5469,86.18,77,78,8.61,broken clouds
138,Rosita,NI,13.9268,-84.4032,88.59,54,64,5.79,broken clouds
139,Hualmay,PE,-11.0964,-77.6139,67.64,70,18,12.97,few clouds
140,Gejiu,CN,23.306,103.1635,59.09,92,100,1.34,light rain
141,Lata,PT,40.1629,-8.3327,65.91,80,32,6.42,scattered clouds
142,Hervey Bay,AU,-25.2986,152.8535,53.04,66,0,8.19,clear sky
143,Acarau,BR,-2.8856,-40.12,82.63,65,87,19.22,overcast clouds
144,Ambilobe,MG,-13.2,49.05,69.22,85,87,3.18,overcast clouds
145,Lavrentiya,RU,65.5833,-171.0,45.41,77,100,17.02,overcast clouds
146,Esperance,AU,-33.8667,121.9,57.04,74,100,4.61,overcast clouds
147,Katherine,AU,-14.4667,132.2667,55.72,50,7,8.05,clear sky
148,Kahului,US,20.8947,-156.47,82.98,68,20,20.71,few clouds
149,Maseru,LS,-29.3167,27.4833,46.33,23,3,2.77,clear sky
150,Yellowknife,CA,62.456,-114.3525,64.92,72,75,23.02,light rain
151,Fairbanks,US,64.8378,-147.7164,59.09,90,90,5.75,light rain
152,Quatre Cocos,MU,-20.2078,57.7625,71.1,77,61,11.01,light rain
153,Airai,TL,-8.9266,125.4092,52.88,66,23,2.73,few clouds
154,Hami,CN,42.8,93.45,79.86,22,3,8.41,clear sky
155,Mumford,GH,5.2618,-0.759,76.37,85,61,17.74,light rain
156,Turan,VN,16.0678,108.2208,86.05,74,20,0.0,few clouds
157,Thompson,CA,55.7435,-97.8558,73.56,60,75,10.36,smoke
158,Leningradskiy,RU,69.3833,178.4167,37.17,79,98,12.33,overcast clouds
159,Harper,LR,4.375,-7.7169,77.31,79,98,11.77,overcast clouds
160,Saint George,US,37.1041,-113.5841,98.64,12,1,1.01,haze
161,Tchollire,CM,8.4022,14.1698,70.72,95,99,3.38,overcast clouds
162,Linguere,SN,15.3953,-15.1193,86.65,55,68,9.62,broken clouds
163,Muroto,JP,33.2833,134.15,81.28,83,60,10.92,broken clouds
164,Luderitz,NA,-26.6481,15.1594,59.11,61,42,2.55,scattered clouds
165,Paamiut,GL,61.994,-49.6678,41.81,94,100,9.19,moderate rain
166,Anloga,GH,5.7947,0.8973,79.02,85,100,15.35,overcast clouds
167,Bubaque,GW,11.2833,-15.8333,80.08,74,13,12.84,few clouds
168,Taltal,CL,-25.4,-70.4833,57.63,72,33,5.7,scattered clouds
169,Bengkulu,ID,-3.8004,102.2655,75.76,91,11,3.6,few clouds
170,Coquimbo,CL,-29.9533,-71.3436,62.33,55,20,12.66,few clouds
171,Labuan,MY,5.2767,115.2417,79.16,89,40,4.61,moderate rain
172,Guican,CO,6.4618,-72.4113,54.54,86,99,1.3,overcast clouds
173,Walvis Bay,NA,-22.9575,14.5053,56.35,76,1,3.44,clear sky
174,Jamestown,US,42.097,-79.2353,79.07,71,75,3.0,broken clouds
175,Meulaboh,ID,4.1363,96.1285,76.96,88,99,5.53,overcast clouds
176,Murdochville,CA,48.9583,-65.5006,70.68,71,100,10.13,overcast clouds
177,Tuktoyaktuk,CA,69.4541,-133.0374,42.8,87,90,13.8,overcast clouds
178,Victoria,HK,22.2855,114.1577,84.25,89,100,9.62,overcast clouds
179,Kodiak,US,57.79,-152.4072,56.71,72,90,8.05,overcast clouds
180,Parkersburg,US,39.2667,-81.5615,90.21,61,40,5.01,scattered clouds
181,Rudbar,AF,30.15,62.6,88.16,16,0,9.91,clear sky
182,Berdigestyakh,RU,62.0989,126.6992,57.11,64,99,9.44,overcast clouds
183,Sayyan,YE,15.1718,44.3244,64.65,53,62,9.44,broken clouds
184,San Rafael,AR,-34.6177,-68.3301,59.99,32,0,14.81,clear sky
185,Ossora,RU,59.2353,163.0719,54.82,73,98,10.4,overcast clouds
186,Mizdah,LY,31.4451,12.9801,85.39,45,0,17.05,clear sky
187,Yulara,AU,-25.2406,130.9889,42.64,56,0,4.61,clear sky
188,Bambous Virieux,MU,-20.3428,57.7575,71.22,78,40,11.5,light rain
189,Morondava,MG,-20.2833,44.2833,73.35,67,0,14.92,clear sky
190,Moshkovo,RU,55.3053,83.6104,59.16,92,10,4.41,clear sky
191,Saint Anthony,US,45.0205,-93.218,73.33,92,90,1.99,overcast clouds
192,Guerrero Negro,MX,27.9769,-114.0611,82.02,54,47,10.85,scattered clouds
193,Ponta Delgada,PT,37.7333,-25.6667,72.32,60,75,9.22,broken clouds
194,Bara,NG,10.3744,10.7288,74.64,90,100,10.58,light rain
195,Miandrivazo,MG,-19.5167,45.4667,68.52,51,0,3.6,clear sky
196,Yumen,CN,40.2833,97.2,69.82,33,10,8.61,clear sky
197,Ashland,US,40.8167,-82.2665,85.87,74,20,10.51,few clouds
198,Kaspiyskiy,RU,45.3929,47.3707,83.03,63,0,22.73,clear sky
199,Toora-Khem,RU,52.4675,96.11,53.56,96,100,1.81,overcast clouds
200,Guadalupe Y Calvo,MX,26.1,-106.9667,64.62,82,95,4.29,overcast clouds
201,Wajima,JP,37.4,136.9,81.73,86,5,10.33,clear sky
202,Isangel,VU,-19.55,169.2667,69.91,73,40,4.61,haze
203,Adrar,MR,20.5022,-10.0711,97.43,22,11,12.01,few clouds
204,Mamallapuram,IN,12.6264,80.1722,86.05,78,24,14.52,few clouds
205,Hambantota,LK,6.1241,81.1185,79.14,81,100,20.33,overcast clouds
206,Khipro,PK,25.8285,69.3772,85.37,63,33,16.42,scattered clouds
207,Gigmoto,PH,13.7796,124.39,81.37,86,88,8.61,overcast clouds
208,Dalmeny,CA,52.3334,-106.7679,76.73,53,90,5.75,smoke
209,Vieste,IT,41.8825,16.175,79.3,61,0,10.36,clear sky
210,Novikovo,RU,51.1537,37.8879,71.8,60,100,6.35,overcast clouds
211,Palana,RU,59.1167,159.9667,48.29,87,96,12.19,overcast clouds
212,Cape Canaveral,US,28.4058,-80.6048,93.45,74,20,13.8,few clouds
213,Bressuire,FR,46.9167,-0.5,62.87,79,50,13.06,scattered clouds
214,Bereda,ES,43.2686,-7.5406,60.91,72,9,2.84,clear sky
215,Caravelas,BR,-17.7125,-39.2481,68.04,84,100,10.94,overcast clouds
216,Codrington,AU,-38.2667,141.9667,42.35,91,7,6.91,clear sky
217,Antalaha,MG,-14.9003,50.2788,66.69,92,34,6.71,scattered clouds
218,Mendi,PG,-6.1761,143.6513,54.75,99,100,1.23,overcast clouds
219,Kavieng,PG,-2.5744,150.7967,81.27,78,99,13.87,moderate rain
220,Chumphon,TH,10.3333,98.8333,72.93,95,79,3.6,broken clouds
221,Korla,CN,41.7597,86.1469,77.95,36,4,4.23,clear sky
222,Atambua,ID,-9.1061,124.8925,65.79,80,35,6.2,scattered clouds
223,Upernavik,GL,72.7868,-56.1549,40.86,95,100,9.15,overcast clouds
224,Kalabo,ZM,-14.97,22.6814,62.24,19,0,4.68,clear sky
225,Yeppoon,AU,-23.1333,150.7333,49.78,88,1,5.59,clear sky
226,Moengo,SR,5.6167,-54.4,80.53,93,89,1.1,moderate rain
227,Muisne,EC,0.6,-80.0333,84.31,75,92,12.15,overcast clouds
228,Alofi,NU,-19.0595,-169.9187,73.29,78,29,9.22,scattered clouds
229,Mount Gambier,AU,-37.8333,140.7667,37.31,100,75,8.05,broken clouds
230,Necochea,AR,-38.5473,-58.7368,55.04,63,48,13.35,scattered clouds
231,Brainerd,US,46.358,-94.2008,73.65,78,90,9.22,overcast clouds
232,Bataipora,BR,-22.2953,-53.2711,86.05,23,0,5.82,clear sky
233,Komsomolskiy,UZ,40.4272,71.7189,83.62,36,65,4.61,broken clouds
234,Husavik,IS,66.0449,-17.3389,57.11,74,84,0.96,broken clouds
235,Grindavik,IS,63.8424,-22.4338,58.55,94,75,5.75,broken clouds
236,Lagoa,PT,39.05,-27.9833,68.43,66,10,11.01,clear sky
237,Kingaroy,AU,-26.5333,151.8333,30.24,100,0,0.0,clear sky
238,Hurghada,EG,27.2574,33.8129,93.24,46,0,0.0,clear sky
239,Asau,RO,46.4333,26.4,65.32,83,1,0.98,clear sky
240,Arendonk,BE,51.3227,5.0829,62.47,86,45,9.17,scattered clouds
241,Vestmanna,FO,62.1564,-7.1664,59.92,77,75,17.27,broken clouds
242,Sao Filipe,CV,14.8961,-24.4956,79.2,80,47,5.97,scattered clouds
243,Aswan,EG,24.0934,32.907,101.5,27,7,14.97,clear sky
244,Honiara,SB,-9.4333,159.95,76.95,84,100,2.98,overcast clouds
245,Murgab,TM,37.4966,61.9714,85.87,30,20,6.91,few clouds
246,Denpasar,ID,-8.65,115.2167,80.26,89,40,11.5,scattered clouds
247,Mogadishu,SO,2.0371,45.3438,76.33,84,65,21.88,broken clouds
248,Wattegama,LK,6.7989,81.4808,75.27,88,100,6.44,overcast clouds
249,Ribeira Grande,PT,38.5167,-28.7,73.8,56,40,10.36,scattered clouds
250,Makakilo City,US,21.3469,-158.0858,82.72,57,1,9.22,clear sky
251,Dingle,PH,10.9995,122.6711,76.93,92,89,5.23,light rain
252,Ouallam,NE,14.3188,2.0866,95.34,38,10,8.84,clear sky
253,Brae,GB,60.3964,-1.353,58.91,91,100,17.81,overcast clouds
254,Killorglin,IE,52.1,-9.7833,56.79,94,100,16.2,overcast clouds
255,Lancut,PL,50.0687,22.2291,67.98,70,0,6.91,clear sky
256,Kruisfontein,ZA,-34.0033,24.7314,55.45,72,100,4.36,overcast clouds
257,Tura,IN,25.5198,90.2201,74.73,99,100,4.72,overcast clouds
258,Shenjiamen,CN,29.9576,122.298,79.52,86,3,17.87,clear sky
259,Khatanga,RU,71.9667,102.5,50.22,68,73,8.37,broken clouds
260,Ust-Kuyga,RU,70.0167,135.6,60.04,55,98,1.88,overcast clouds
261,Churachandpur,IN,24.3333,93.6667,69.73,98,100,2.01,overcast clouds
262,La Ronge,CA,55.1001,-105.2842,70.05,68,75,6.91,broken clouds
263,Roma,US,43.2128,-75.4557,87.66,56,20,1.01,few clouds
264,Kathu,TH,7.9178,98.3332,80.42,82,97,9.13,overcast clouds
265,Novoagansk,RU,61.9449,76.6625,62.17,77,55,3.78,broken clouds
266,Mao,ES,39.8885,4.2658,79.36,78,20,11.5,few clouds
267,Riyadh,SA,24.6877,46.7219,98.74,12,49,8.3,scattered clouds
268,Neiafu,TO,-18.65,-173.9833,59.68,94,20,0.0,few clouds
269,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,75.02,73,54,16.11,broken clouds
270,Alta Floresta,BR,-9.8756,-56.0861,96.62,21,20,5.75,few clouds
271,Barcelos,PT,41.5388,-8.6151,66.92,81,3,8.63,clear sky
272,Puerto Ayora,EC,-0.7393,-90.3518,73.54,83,85,8.01,overcast clouds
273,Ndele,CF,8.4109,20.6473,71.02,92,100,5.28,overcast clouds
274,Pingliang,CN,35.5392,106.6861,65.73,62,88,2.68,overcast clouds
275,Rorvik,NO,64.8621,11.2373,62.87,61,100,7.07,overcast clouds
276,Visby,SE,57.6409,18.296,61.02,82,75,10.36,broken clouds
277,Buala,SB,-8.145,159.5921,78.06,81,100,2.39,light rain
278,Muyezerskiy,RU,63.9333,31.65,55.9,64,94,12.15,overcast clouds
279,Vestmannaeyjar,IS,63.4427,-20.2734,55.4,89,100,11.92,overcast clouds
280,Heze,CN,35.2431,115.4411,74.43,88,50,4.68,light rain
281,Ormara,PK,25.2088,64.6357,80.17,84,91,7.61,overcast clouds
282,Gubskaya,RU,44.3164,40.6358,69.46,81,100,4.21,overcast clouds
283,Yavatmal,IN,20.4,78.1333,78.58,75,99,5.1,overcast clouds
284,Sampit,ID,-2.5333,112.95,74.89,99,99,1.66,overcast clouds
285,Lebu,CL,-37.6167,-73.65,50.56,70,6,22.01,clear sky
286,Pajapan,MX,18.25,-94.7,86.16,69,97,8.9,overcast clouds
287,Katsuura,JP,35.1333,140.3,80.62,95,100,21.83,heavy intensity rain
288,Mount Isa,AU,-20.7333,139.5,44.37,45,0,0.0,clear sky
289,Constitucion,CL,-35.3333,-72.4167,55.33,65,100,13.71,overcast clouds
290,Borinskoye,RU,52.4569,39.3713,76.12,31,100,10.49,overcast clouds
291,Sortland,NO,68.6949,15.4162,64.58,69,99,3.4,overcast clouds
