City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Namatanai,PG,77.4,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
2,Rockland,US,88.86,overcast clouds,41.1668,-74.0496,National Camp Association
6,Bethel,US,86.88,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
7,Avarua,CK,77.05,clear sky,-21.2078,-159.775,Paradise Inn
10,Rikitea,PF,74.01,few clouds,-23.1203,-134.9692,People ThankYou
16,Banda Aceh,ID,79.63,overcast clouds,5.5577,95.3222,Sulthan Hotel International
17,Fiumicino,IT,83.98,clear sky,41.7675,12.2291,Al Porticciolo Hotel
22,Flin Flon,CA,78.64,smoke,54.7682,-101.865,Victoria Inn Flin Flon
23,Conceicao Da Barra,BR,70.03,overcast clouds,-18.5933,-39.7322,Cricaré Praia Hotel
29,Saint-Philippe,RE,71.15,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
31,Villarrica,PY,86.45,clear sky,-25.75,-56.4333,Mansión Reljuv Tours SA
33,San Cristobal,VE,84.38,broken clouds,7.7669,-72.225,Posada Villaven C.A.
35,Torbay,CA,77.77,broken clouds,47.6666,-52.7314,Gallows Cove
39,Alice Town,BS,84.97,clear sky,25.7167,-79.3,Bimini Big Game Club Resort & Marina
42,Hamilton,US,89.94,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
44,Atuona,PF,76.87,light rain,-9.8,-139.0333,Villa Enata
55,Lazaro Cardenas,MX,86.77,overcast clouds,17.9583,-102.2,quinta antigua
56,Paita,PE,73.96,few clouds,-5.0892,-81.1144,Hotel Náutico de Paita
60,Lompoc,US,83.21,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
62,Hilo,US,80.33,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
63,Georgetown,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
65,Kapaa,US,82.72,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
69,Biak,ID,75.09,overcast clouds,-0.9131,122.8766,Penginapan Kim
81,Chuy,UY,70.57,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
82,Zheleznodorozhnyy,RU,75.42,overcast clouds,55.7503,38.0042,Hotel Dali
83,Les Cayes,HT,86.99,few clouds,18.2,-73.75,Villa Orphee
90,Hasaki,JP,79.2,heavy intensity rain,35.7333,140.8333,Hotel Sunrise Choshi
91,Ranong,TH,79.16,broken clouds,9.9658,98.6348,Tinidee Hotel@Ranong
95,Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
96,Harrisburg,US,85.28,overcast clouds,40.2737,-76.8844,Hilton Harrisburg
99,Butaritari,KI,82.22,few clouds,3.0707,172.7902,Isles Sunset Lodge
